id,elevacao,aspeto,inclinacao,dh_agua,dv_agua,dh_estrada,sombra_9,sombra_12,sombra_15,dh_Incendio,area,solo,floresta
59,2567,34,9,190,16,1136,219,221,138,4924,4,18,3
60,3067,32,4,30,-2,6679,219,230,147,2947,4,6,3
61,2818,324,12,242,26,4156,189,227,177,5467,4,7,2
62,2752,332,6,342,24,2372,207,233,165,6131,4,12,3
63,2569,102,7,228,18,1266,232,231,132,4844,4,18,3
64,2982,53,14,240,63,5756,227,209,112,3880,4,5,3
65,3070,0,11,30,-6,6890,204,220,153,2858,4,5,3
66,3057,124,12,150,53,6508,240,231,118,3211,4,5,3
67,2847,320,33,85,39,4983,120,190,199,4727,4,5,3
68,2606,112,11,30,4,1584,239,228,119,5106,4,7,3
69,2893,83,6,551,101,4011,229,230,135,5755,4,12,3
70,2716,1,10,234,27,2100,206,222,153,5581,4,12,3
71,2644,125,20,67,25,1719,249,221,90,5168,4,5,3
72,2613,37,5,216,34,1519,220,229,146,4818,4,12,3
73,2939,56,18,95,20,5563,229,200,98,4224,4,13,3
74,2942,346,12,30,3,5918,197,221,162,3900,4,13,2
75,2886,12,7,570,94,4295,213,226,150,5518,4,5,2
76,2490,79,9,240,13,878,232,224,124,4184,4,18,3
77,2831,284,24,60,23,5208,145,232,222,4611,4,13,3
78,2837,112,8,272,16,3649,235,231,128,6221,4,12,3
79,2824,135,5,218,6,3583,227,238,144,6316,4,6,3
80,3142,220,11,424,69,6216,207,251,179,1989,4,5,3
81,2536,34,5,242,16,1242,219,228,146,4201,4,18,3
82,2893,21,6,295,36,4106,216,227,148,5865,4,12,3
83,2687,20,11,150,39,1986,212,217,140,4936,4,12,3
84,3109,211,17,424,55,6089,204,254,181,2017,4,5,3
85,2795,18,3,218,17,3042,217,233,153,6073,4,12,3
86,3027,173,11,335,42,5678,227,245,149,1900,4,5,2
87,2591,42,12,350,22,1398,222,213,125,4224,4,5,3
88,2860,276,33,60,33,5292,115,226,240,4759,4,13,3
89,3034,189,14,384,66,5754,220,250,160,2012,4,5,2
90,3182,49,13,319,7,4767,225,211,118,1513,4,5,2
91,2658,357,20,300,54,1597,184,199,149,4286,4,5,3
92,2955,288,21,247,128,5224,156,233,215,4968,4,13,3
93,2837,66,9,201,23,3655,229,221,124,6341,4,6,3
94,3182,45,3,458,109,4723,220,232,149,1661,4,5,2
95,3064,29,24,150,46,5051,204,182,104,2148,4,5,2
96,3107,356,12,283,89,4855,201,219,155,2069,4,5,2
97,2995,173,15,268,135,6312,228,246,146,4135,4,5,3
98,3182,116,7,579,10,4425,233,233,133,1854,4,5,2
99,2724,132,11,60,-2,2720,238,234,124,4875,4,12,3
100,2515,90,9,313,39,511,233,227,125,3451,4,18,3
101,3077,256,4,618,210,6230,210,242,170,3734,4,5,3
102,2929,338,8,190,39,4393,202,228,165,6106,4,12,3
103,2735,127,12,67,6,2806,240,232,120,4924,4,12,3
104,2893,319,20,150,43,5825,164,217,192,4667,4,13,3
105,2890,63,17,153,35,3670,233,202,96,5757,4,5,3
106,3198,23,18,604,180,4545,207,200,124,2285,4,5,2
107,2985,214,5,342,63,5495,215,245,166,3195,4,5,3
108,3024,312,18,474,177,5785,169,224,194,4961,4,13,3
109,2763,7,12,85,17,2850,205,216,148,4788,4,13,3
110,3244,56,16,618,76,3865,229,204,104,2225,4,14,2
111,3201,10,13,984,180,4136,205,213,143,2289,4,13,2
112,2972,36,25,30,0,5113,209,176,90,2816,4,5,2
113,2985,167,13,458,66,5571,230,244,144,3519,4,5,3
114,2952,51,10,150,16,5123,225,218,126,2960,4,7,2
115,3004,0,12,484,85,5068,202,217,152,5840,4,12,2
116,3004,167,17,603,137,5798,232,244,137,4031,4,5,3
117,3034,187,14,335,148,6084,221,249,158,4921,4,5,3
118,2903,279,13,190,26,4179,184,241,197,5904,4,5,3
119,2991,54,13,495,65,4849,227,211,115,6214,4,12,3
120,2742,116,9,150,21,2475,236,231,126,4314,4,12,3
121,2913,16,11,457,58,3974,211,217,142,5568,4,5,3
122,2813,48,7,201,35,3018,223,225,137,4729,4,13,3
123,3260,45,7,503,69,3558,222,225,138,2531,4,14,2
124,2965,38,24,247,49,4883,212,181,92,3315,4,5,2
125,3037,230,15,570,151,5985,196,252,191,5238,4,5,3
126,3027,152,10,792,108,5316,233,240,138,5912,4,12,3
127,2756,70,16,120,35,2501,235,208,100,4210,4,12,3
128,3198,126,9,418,23,4200,235,234,130,2858,4,7,2
129,3195,90,7,362,20,4243,231,229,132,2880,4,13,2
130,2975,222,6,360,89,5719,213,245,169,4519,4,5,3
131,3018,109,10,815,132,5833,238,229,121,5486,4,5,3
132,3221,79,16,618,20,3968,239,210,96,2868,4,13,2
133,2572,49,20,384,53,391,224,192,94,2509,4,5,3
134,3260,128,11,743,46,3824,238,233,124,2854,4,13,2
135,2878,349,12,67,0,3489,198,220,161,4924,4,5,3
136,2975,260,8,391,66,6071,200,245,183,5262,4,5,3
137,3178,38,10,0,0,4286,220,217,131,3248,4,5,2
138,2982,175,9,424,56,5267,225,245,153,6500,4,12,2
139,2945,209,12,362,36,5877,211,251,173,5354,4,5,3
140,2995,143,2,631,23,5459,223,238,151,6349,4,5,2
141,2945,288,5,0,0,4801,205,239,173,6034,4,6,3
142,2959,288,8,120,14,4683,199,240,180,5920,4,12,3
143,2784,325,17,153,33,1798,177,220,182,3198,4,5,3
144,2789,320,15,182,50,1771,181,225,183,3174,4,5,3
145,2922,162,19,240,22,5076,235,241,129,4536,4,5,3
146,3008,135,3,931,36,5727,224,238,150,6096,4,5,3
147,3136,329,13,789,-13,4228,187,223,175,3798,4,5,2
148,2548,355,14,60,7,551,197,215,155,2058,4,6,3
149,2962,89,9,42,3,4891,234,225,122,6046,4,12,3
150,2749,87,12,516,43,1499,238,220,111,2797,4,12,3
151,3155,328,14,849,-19,4184,185,222,177,3871,4,5,2
152,3080,24,17,659,167,4377,208,201,125,4176,4,5,2
153,2978,257,6,85,13,4795,205,244,177,5905,4,12,3
154,2574,312,14,134,32,636,183,229,187,1924,4,5,3
155,3142,59,21,730,-32,4155,231,192,85,4070,4,5,2
156,2595,9,14,42,19,799,204,212,144,2010,4,5,3
157,2929,232,8,366,33,5835,208,247,177,5776,4,5,3
158,2988,342,6,192,26,4805,208,231,162,5836,4,12,3
159,2861,0,6,134,10,2980,211,228,155,3972,4,5,3
160,2804,61,7,362,10,1838,226,225,133,2825,4,5,3
161,2914,141,9,277,18,3471,234,238,135,4430,4,12,3
162,2668,41,17,283,68,1276,219,200,110,2240,4,5,3
163,2932,100,7,30,-6,4280,232,231,131,5166,4,7,3
164,2903,254,6,212,3,5689,206,244,176,6195,4,7,2
165,2800,45,12,0,0,2244,223,214,124,2958,4,6,2
166,2952,62,8,192,30,4487,227,223,130,5251,4,5,3
167,3050,281,4,630,85,5540,209,240,169,6162,4,12,3
168,3172,162,3,180,7,3632,222,240,153,4624,4,5,2
169,3116,69,14,297,-6,3870,234,212,107,4802,4,5,2
170,2978,27,4,192,13,4780,218,230,149,5502,4,12,3
171,2952,40,12,323,0,4558,221,213,124,5268,4,12,3
172,3149,188,7,134,17,3718,221,245,159,4831,4,5,2
173,3136,185,10,42,4,3623,222,248,158,4858,4,5,2
174,2933,111,8,300,20,3644,234,231,129,4221,4,12,3
175,3267,85,10,484,62,3194,235,223,119,4518,4,14,2
176,3008,281,10,780,110,5864,194,241,187,5998,4,5,3
177,2942,28,5,391,29,3707,218,230,148,4228,4,12,3
178,2921,331,9,395,8,3516,200,230,169,4024,4,12,3
179,2985,315,5,361,20,5023,206,235,169,5570,4,12,3
180,2978,289,14,570,42,4480,179,238,198,5007,4,12,3
181,2889,51,20,362,66,2689,225,193,94,3049,4,5,3
182,2828,95,11,127,15,2467,238,224,116,2714,4,5,3
183,3146,95,12,240,-28,3287,239,222,112,5052,4,5,2
184,3034,45,2,680,46,5544,220,234,151,5490,4,12,3
185,3083,61,19,192,-9,3320,232,197,90,5380,4,5,2
186,3044,23,5,210,-25,3481,217,228,148,5476,4,6,2
187,2982,90,8,242,-35,3695,232,228,129,5609,4,6,2
188,2995,66,6,247,13,4770,227,227,135,5126,4,5,3
189,2939,243,24,400,41,5619,164,250,217,5753,4,5,3
190,3008,215,11,696,112,5880,209,251,176,5600,4,5,3
191,3021,238,9,815,125,5855,204,248,181,5543,4,5,3
192,2937,80,11,330,15,4094,234,221,118,4354,4,12,3
193,2781,13,3,351,25,2148,216,233,154,1707,4,5,3
194,2857,143,12,85,8,3111,238,237,127,3161,4,5,3
195,2773,151,18,350,119,1680,240,237,119,983,4,5,6
196,2714,117,20,242,93,1470,250,217,85,779,4,5,6
197,2671,109,26,175,55,1350,253,200,58,664,4,5,6
198,2975,126,9,120,3,4763,235,234,130,4928,4,5,3
199,2775,148,19,335,101,1770,242,234,113,1061,4,5,6
200,2717,108,16,201,79,1500,246,220,98,794,4,5,6
201,2751,136,14,277,77,1680,241,234,119,967,4,5,6
202,2733,133,16,228,79,1590,244,231,111,878,4,5,6
203,3060,167,18,95,16,3251,232,244,136,5755,4,5,3
204,2899,120,8,162,19,3944,234,234,132,4034,4,12,3
205,2861,107,8,30,0,3434,234,231,129,3406,4,13,3
206,2785,202,8,134,18,2429,217,247,165,1860,4,12,3
207,2656,110,23,85,35,1350,252,208,72,636,4,5,6
208,3050,167,16,67,6,3229,231,244,140,5783,4,5,3
209,2952,58,10,201,16,3736,228,218,123,6078,4,5,3
210,2685,128,23,95,31,1440,251,218,81,722,4,5,6
211,3050,139,13,30,-3,3127,240,235,123,5770,4,6,2
212,2704,123,18,124,40,1530,247,224,99,797,4,5,6
213,2621,81,14,0,0,1290,238,214,103,571,4,5,6
214,3060,45,13,30,3,3046,223,211,120,5768,4,5,2
215,2975,136,15,124,7,3543,243,232,114,6039,4,5,3
216,2719,128,16,150,45,1621,244,229,109,874,4,5,6
217,2673,108,22,42,9,1473,251,208,72,721,4,5,6
218,3050,80,8,360,59,5638,231,225,127,4978,4,5,2
219,2858,125,8,268,7,3288,233,235,134,3034,4,12,3
220,3047,56,11,95,29,3182,227,218,123,5994,4,5,2
221,2676,9,14,30,2,1481,204,212,144,700,4,5,6
222,2678,9,15,42,7,1421,202,209,142,641,4,5,6
223,2995,6,14,201,13,5167,202,213,146,4670,4,5,3
224,2702,90,1,0,0,1727,221,236,151,932,4,6,3
225,2991,282,8,268,32,5024,198,241,182,4582,4,5,2
226,2915,81,8,0,0,4345,231,226,128,4260,4,13,3
227,2756,30,4,150,2,2571,218,231,149,1770,4,12,3
228,2928,315,1,150,23,4194,215,237,160,4050,4,5,3
229,2770,95,3,258,7,2813,224,235,147,2011,4,12,3
230,2656,77,23,283,-23,1320,242,190,66,518,4,5,3
231,2781,65,13,42,6,3162,232,214,112,2465,4,6,3
232,2968,338,11,216,23,3426,196,225,167,6508,4,6,2
233,2792,101,6,108,29,3180,230,232,135,2442,4,12,3
234,3064,90,8,371,23,2822,232,228,129,6357,4,5,2
235,2888,32,8,470,72,3700,219,224,141,3164,4,12,3
236,3057,90,8,390,16,2783,232,228,129,6452,4,5,2
237,3064,45,16,228,60,5623,223,203,110,4361,4,5,3
238,2677,167,16,85,9,1680,231,244,140,953,4,12,3
239,2584,343,13,150,39,812,192,219,165,480,4,5,3
240,2902,104,6,558,89,3643,230,233,136,3107,4,12,3
241,3008,24,12,309,36,5353,213,214,135,3950,4,6,2
242,2939,288,5,379,39,5448,207,239,171,4506,4,5,3
243,2949,277,12,437,49,5506,186,242,195,4471,4,5,3
244,3028,323,9,242,53,5079,196,230,174,3771,4,5,2
245,2900,315,1,90,0,5152,216,237,159,4667,4,7,3
246,2932,96,7,247,17,3861,232,229,129,5585,4,5,3
247,2909,72,5,324,5,4554,226,230,138,5006,4,7,3
248,2909,0,3,350,5,4582,215,233,156,4985,4,7,3
249,2900,180,3,300,-2,4725,220,241,156,4880,4,19,3
250,3027,217,17,700,127,5844,201,254,185,4011,4,5,3
251,2963,121,13,175,0,4557,241,229,116,3360,4,5,3
252,2955,235,21,451,55,5590,180,253,205,4074,4,5,3
253,3014,338,8,150,23,2888,202,228,165,6169,4,5,3
254,2995,62,11,484,17,3209,230,216,118,5849,4,5,2
255,2982,47,9,437,-7,3387,223,220,131,5641,4,6,3
256,2916,243,3,335,16,5442,213,242,166,4030,4,13,3
257,2751,270,2,0,0,3068,214,239,163,2912,4,13,2
258,2919,264,7,408,19,5490,202,244,181,3945,4,5,3
259,2975,253,12,616,59,5780,193,248,193,3739,4,5,3
260,2617,83,9,127,16,573,233,224,122,1290,4,12,3
261,2574,92,7,0,0,408,232,229,129,1318,4,6,3
262,2939,19,11,60,7,3980,212,217,141,5016,4,6,3
263,2915,45,10,60,0,4397,223,218,129,3018,4,5,2
264,2784,348,13,170,37,2758,194,217,161,2687,4,5,3
265,2995,233,14,638,89,5932,196,252,191,3487,4,5,3
266,2932,18,2,485,13,4326,217,234,154,4597,4,13,3
267,2760,62,5,547,66,1842,224,230,142,2079,4,12,3
268,2730,79,6,270,14,1353,228,229,135,1883,4,12,3
269,2998,252,12,553,89,5940,193,248,193,3271,4,5,3
270,2854,28,8,446,99,2791,217,223,141,2912,4,12,3
271,2633,94,19,258,82,454,246,208,84,1651,4,12,3
272,2811,84,10,433,38,2250,234,224,121,2506,4,12,3
273,2839,71,14,488,66,2370,235,213,107,2616,4,12,3
274,2689,179,11,210,2,932,225,247,153,1851,4,5,3
275,3015,66,19,335,22,3777,235,199,88,4847,4,5,3
276,2851,107,11,458,78,2402,238,227,119,2698,4,5,3
277,2949,122,14,379,28,5131,242,229,113,2714,4,13,3
278,2939,45,8,306,26,4602,223,222,134,4080,4,5,3
279,3074,52,9,42,4,3105,225,221,130,5353,4,5,2
280,2932,54,16,283,119,3578,228,203,104,2418,4,5,3
281,2864,128,8,451,63,2741,234,235,133,2713,4,12,3
282,2946,352,14,170,35,4298,195,216,158,2352,4,5,3
283,2863,193,6,390,62,2869,220,245,161,2577,4,12,3
284,2618,7,18,170,47,458,196,202,140,1866,4,5,3
285,2968,120,9,365,51,5386,236,232,127,2557,4,5,3
286,2734,93,5,277,16,1645,228,232,138,2445,4,12,3
287,2922,270,5,120,9,4843,207,241,173,3582,4,13,3
288,2624,183,27,60,22,1195,215,245,145,2374,4,5,3
289,2917,107,5,210,33,3413,229,234,139,2125,4,12,3
290,2644,345,3,85,-4,509,214,235,159,1426,4,12,3
291,2645,45,4,134,-3,467,221,230,145,1368,4,12,3
292,3024,24,16,297,26,4116,210,204,127,4161,4,5,2
293,2651,40,14,242,4,641,220,208,119,1783,4,12,3
294,2813,127,14,60,12,2845,243,230,112,2313,4,5,6
295,2617,344,19,30,6,1307,178,206,165,2506,4,5,3
296,2992,228,6,458,79,4439,211,246,172,1919,4,12,3
297,2796,131,9,0,0,2794,235,235,132,2323,4,5,6
298,2917,175,13,30,0,3707,227,247,149,1907,4,12,2
299,2794,179,20,124,29,2629,224,247,147,2408,4,5,3
300,2661,266,4,67,4,631,210,241,169,1499,4,13,3
301,2793,119,17,30,-2,2810,247,222,97,2274,4,5,6
302,2976,315,19,319,58,4779,165,220,194,1917,4,5,3
303,3109,87,13,446,16,3469,239,218,108,4669,4,5,3
304,2792,109,19,67,8,2856,249,214,85,2208,4,5,6
305,2775,121,16,30,-3,2799,246,225,103,2244,4,5,6
306,3113,14,13,376,23,3684,207,213,141,4380,4,5,2
307,2919,341,9,467,3,4830,202,228,164,3187,4,13,2
308,2764,91,15,42,7,2789,242,216,100,2216,4,5,6
309,2753,109,19,60,-3,2771,248,216,88,2213,4,5,6
310,2744,122,19,30,1,2742,248,222,94,2232,4,5,6
311,2965,72,14,361,6,4509,235,212,105,3383,4,5,3
312,2718,90,18,30,-2,2719,244,209,87,2207,4,5,6
313,2669,31,3,342,17,696,219,233,151,1559,4,12,3
314,2721,101,18,42,13,2730,247,213,88,2185,4,5,6
315,2686,142,10,0,0,2592,235,238,132,2293,4,5,6
316,2610,135,6,272,13,323,230,237,141,1256,4,12,3
317,2709,323,24,127,59,2125,153,208,191,2563,4,5,3
318,2688,120,7,30,3,2644,232,235,136,2227,4,7,6
319,2685,11,2,30,4,2617,217,234,155,2241,4,7,6
320,2684,347,6,0,0,2630,208,230,160,2215,4,7,6
321,2695,101,10,0,0,2778,237,227,120,2101,4,7,6
322,2593,7,8,85,-5,335,211,225,151,1279,4,5,3
323,3149,120,13,150,33,3438,242,229,114,4269,4,5,2
324,2872,79,9,0,0,4336,232,224,124,1323,4,13,3
325,2763,357,23,201,66,2728,177,192,147,2032,4,5,3
326,2955,65,13,481,42,4590,232,214,112,2967,4,5,2
327,2808,112,9,0,0,4034,235,231,127,1230,4,13,3
328,2811,352,13,228,35,2145,198,218,158,2464,4,5,3
329,2892,48,23,150,51,4337,222,183,85,1140,4,5,3
330,2828,352,23,424,143,2556,174,194,154,2086,4,5,3
331,2598,327,7,30,0,582,204,233,168,1482,4,6,3
332,2972,348,10,402,7,4565,201,223,161,2880,4,13,2
333,2810,42,14,300,64,1666,222,209,120,2620,4,5,3
334,2613,39,9,42,4,685,221,219,133,1626,4,6,3
335,2822,308,5,234,66,1758,205,237,171,2765,4,5,3
336,3103,85,8,524,-5,3805,232,227,128,3589,4,5,2
337,2876,343,22,532,181,2742,171,201,165,1894,4,5,3
338,2802,358,6,433,50,1718,210,228,156,2630,4,5,3
339,2890,20,16,430,182,2954,208,205,131,1723,4,5,3
340,2686,29,23,95,36,1082,205,184,106,2036,4,5,3
341,3195,83,11,366,53,2952,235,221,116,4401,4,13,2
342,2929,44,16,591,65,2698,222,204,112,1911,4,5,3
343,2849,293,22,120,44,2115,154,229,213,2646,4,5,3
344,2733,90,5,60,-1,1364,227,232,139,2315,4,13,6
345,2803,333,20,182,56,3721,170,210,177,1124,4,5,3
346,2737,99,13,30,-5,1406,241,221,108,2357,4,13,6
347,2655,21,13,741,45,630,211,212,135,1652,4,5,3
348,2871,92,32,218,97,4173,249,174,28,792,4,5,3
349,2988,217,7,446,72,5467,212,247,171,1437,4,5,3
350,2975,38,11,633,245,3282,220,216,129,1381,4,12,3
351,2653,93,12,511,43,424,239,222,111,1833,4,5,3
352,2662,119,10,531,52,481,237,232,125,1841,4,5,3
353,2919,108,7,85,3,5022,232,232,133,1841,4,7,3
354,2694,56,14,480,27,866,228,211,113,1782,4,12,3
355,3024,56,17,67,6,4397,229,203,101,2584,4,5,3
356,2987,169,17,390,43,4629,230,245,139,547,4,5,3
357,2787,96,17,218,32,1767,245,214,93,2718,4,5,3
358,2934,299,25,418,171,3736,141,221,216,1044,4,5,3
359,2712,304,7,190,45,1146,201,237,175,1862,4,12,3
360,3044,57,16,108,-5,4295,229,206,105,2589,4,5,3
361,2753,230,14,175,40,1398,197,252,190,2315,4,12,3
362,3109,26,7,30,-3,3947,217,225,144,2962,4,5,2
363,2936,100,13,300,20,4687,242,221,107,2012,4,5,3
364,2856,66,14,371,36,2086,233,211,108,2905,4,5,3
365,2703,47,8,319,1,666,223,223,134,1813,4,12,2
366,3073,99,20,216,-12,4133,248,209,80,2624,4,5,3
367,2651,64,9,127,3,335,229,221,125,1559,4,12,3
368,2942,170,12,323,-45,4552,229,245,147,2051,4,5,3
369,2732,43,9,0,0,1566,222,220,132,2455,4,6,3
370,2916,228,12,67,7,4975,202,251,185,1507,4,5,3
371,3021,68,8,201,26,4134,228,225,130,2493,4,5,2
372,3032,87,12,277,71,5328,238,219,109,671,4,5,3
373,2904,53,26,30,9,4975,224,176,71,256,4,5,3
374,2866,122,6,242,46,2335,230,235,138,2730,4,5,3
375,2903,146,10,443,42,2766,234,239,135,2219,4,5,3
376,3086,123,10,319,36,3684,237,233,127,2970,4,5,2
377,3083,45,5,256,49,3776,221,229,143,2850,4,5,2
378,2924,9,6,255,50,3095,213,227,152,1855,4,5,3
379,2740,56,15,162,10,1442,229,207,107,2151,4,12,3
380,3109,60,16,319,55,3599,231,206,103,3031,4,5,2
381,2914,104,4,391,41,2989,226,234,143,1995,4,5,3
382,3010,203,16,484,159,5519,211,253,173,760,4,5,3
383,2719,6,5,67,-3,1194,214,230,154,1848,4,12,2
384,2699,45,1,60,4,834,219,236,154,1510,4,12,2
385,2693,5,12,120,0,828,205,217,149,1383,4,12,3
386,2674,344,7,234,-2,626,206,229,162,1116,4,12,3
387,3178,83,6,306,46,3209,228,230,137,3398,4,5,2
388,2961,97,20,150,47,3636,248,206,77,1218,4,5,3
389,2761,181,10,42,4,2117,223,247,156,3019,4,12,3
390,2764,148,6,175,20,1816,229,239,144,2307,4,12,3
391,2971,322,22,361,158,4671,160,213,190,258,4,5,3
392,2750,60,4,0,0,2154,223,231,144,2976,4,6,3
393,2695,15,7,285,1,819,214,225,148,1104,4,12,3
394,2972,0,16,210,20,4200,195,209,150,2112,4,13,3
395,2868,188,2,108,14,2616,219,240,157,2470,4,5,3
396,2976,252,3,212,95,5365,213,241,166,900,4,5,3
397,2719,126,11,277,-10,1092,239,233,123,1302,4,13,3
398,2624,109,14,127,14,911,244,223,105,655,4,20,3
399,2985,90,9,295,53,4375,234,226,123,1900,4,5,3
400,2911,130,30,108,52,5485,252,207,60,811,4,5,3
401,2780,357,14,85,13,2335,197,213,153,2952,4,13,3
402,2856,2,14,0,0,5468,200,214,150,684,4,6,3
403,2945,76,10,175,42,4542,233,220,118,1717,4,5,3
404,2821,63,14,30,-4,2496,232,211,108,2704,4,13,2
405,3030,81,14,85,22,4414,238,215,106,408,4,5,2
406,2770,51,12,120,7,1528,226,214,120,1652,4,12,3
407,2733,89,15,582,20,1092,242,214,98,900,4,12,3
408,3123,94,12,342,33,3544,238,222,113,2758,4,5,2
409,2673,69,14,240,56,1084,234,211,106,553,4,5,3
410,2544,86,7,247,-16,1020,230,229,132,531,4,20,3
411,3162,55,10,190,23,2871,226,219,126,3501,4,5,3
412,2972,37,7,90,16,4242,220,224,139,920,4,13,3
413,2851,43,17,255,37,2599,221,201,110,2771,4,5,3
414,2814,5,9,201,48,1829,209,223,152,1884,4,12,3
415,3025,96,7,234,17,4437,232,229,129,726,4,5,3
416,2869,325,15,120,13,2898,181,222,180,2310,4,5,2
417,2905,248,3,95,11,4859,214,241,165,1490,4,5,3
418,3001,17,6,323,43,3929,215,228,150,1371,4,5,3
419,3014,234,21,285,115,5432,180,253,205,834,4,5,3
420,2802,91,11,540,18,1699,237,223,115,1084,4,12,3
421,2902,342,3,67,4,4963,213,235,159,1560,4,13,6
422,2853,39,10,350,55,2109,221,219,132,1834,4,12,3
423,2932,113,15,85,19,3432,245,223,104,1734,4,5,3
424,2921,258,20,108,8,5066,168,247,215,1539,4,5,6
425,3046,335,15,134,31,4530,185,218,172,1055,4,5,2
426,2752,68,11,418,65,1684,232,218,118,626,4,12,3
427,2904,9,13,30,5,4855,205,213,144,1687,4,13,6
428,2906,87,10,212,42,3070,236,223,118,2513,4,12,3
429,2654,78,11,272,7,1116,234,220,116,258,4,13,3
430,2975,354,40,474,0,4118,126,141,132,2250,4,5,3
431,2913,321,16,95,14,4784,178,223,184,1771,4,13,6
432,2770,68,3,330,11,1820,222,234,148,808,4,12,3
433,2987,236,21,365,74,5302,178,253,207,1537,4,5,3
434,2918,310,11,124,10,5031,191,233,182,1693,4,13,6
435,2925,205,5,175,12,5090,217,244,164,1664,4,5,6
436,2942,5,11,60,3,3542,206,219,150,1745,4,5,3
437,2918,8,7,85,3,4731,212,226,152,1884,4,5,6
438,2931,267,16,242,18,5144,178,245,205,1664,4,5,6
439,3174,350,13,700,66,5370,195,217,160,1050,4,5,3
440,2928,294,6,216,21,5075,204,239,174,1744,4,13,6
441,3096,73,11,192,13,3187,233,218,115,3133,4,5,2
442,2917,50,11,30,2,4745,225,217,125,1939,4,13,6
443,2920,295,9,42,5,4833,195,238,182,1889,4,13,6
444,2935,32,12,162,26,4981,217,214,131,1812,4,5,6
445,2929,302,16,85,14,4858,172,230,198,1899,4,5,6
446,3004,273,14,301,93,5754,181,243,201,1237,4,5,3
447,3168,203,6,700,60,5459,217,246,164,1140,4,5,3
448,3130,110,12,421,51,5271,240,227,115,1172,4,5,3
